127.0.0.1 - - [11/Jan/2020:21:36:58 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:36:59 +0900] "GET /itjobs HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/ HTTP/1.1" 200 68556
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/jobx/assets/css/bootstrap.min.css HTTP/1.1" 200 140930
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/jobx/assets/css/animate.css HTTP/1.1" 200 69727
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/jobx/assets/css/slicknav.min.css HTTP/1.1" 200 2505
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/jobx/assets/css/owl.theme.default.css HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/jobx/assets/css/line-icons.css HTTP/1.1" 200 14780
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/jobx/assets/css/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/jobx/assets/js/jquery-min.js HTTP/1.1" 200 84349
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/jobx/assets/css/main.css HTTP/1.1" 200 80376
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/jobx/assets/css/color-switcher.css HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/jobx/assets/css/colors/cyan.css HTTP/1.1" 200 4298
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/jobx/assets/css/responsive.css HTTP/1.1" 200 11808
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/jobx/assets/js/jquery.counterup.min.js HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/jobx/assets/js/owl.carousel.min.js HTTP/1.1" 200 44342
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/jobx/assets/js/contact-form-script.js HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/jobx/assets/js/popper.min.js HTTP/1.1" 200 19038
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/jobx/assets/js/jquery.slicknav.js HTTP/1.1" 200 21071
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/jobx/assets/js/waypoints.min.js HTTP/1.1" 200 8044
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/images/logo12.png HTTP/1.1" 200 33423
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/cofileupload/2019101517024762693.png HTTP/1.1" 200 15677
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/jobx/assets/js/form-validator.min.js HTTP/1.1" 200 6055
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/jobx/assets/js/main.js HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/cofileupload/2019101517550661655.png HTTP/1.1" 200 3150
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/cofileupload/2019101517584797491.png HTTP/1.1" 200 114151
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/cofileupload/2019101517471120718.jpg HTTP/1.1" 200 3078
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/assets/img/logo-footer.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/jobx/assets/img/bg/bg-intro.jpg HTTP/1.1" 200 977997
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/userCounting HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /itjobs/resources/jobx/assets/fonts/LineIcons.ttf?ibaccn HTTP/1.1" 200 101616
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:37:00 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
